Filename,Cluster
Strategies to save energy in the context of the energy crisis_a review.pdf,5
Recent advancement and assessment of green hydrogen production technologies.pdf,0
Weather Impact on Solar Farm Performance_A Comparative Analysis of Machine Learning Techniques.pdf,1
Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines.pdf,4
Design and investigation of PV string:central architecture for bayesian fusion technique using grey wolf optimization and flower pollination optimized algorithm.pdf,7
A review of carbon dots in synthesis strategy.pdf,6
Highly efficient adsorption and removal bio-staining dye from industrial wastewater onto mesoporous Ag-MOFs.pdf,0
Stochastic coordinated operation of wind and battery energy storage system considering battery degradation.pdf,3
Sodium-Ion Battery Materials and Electrochemical Properties Reviewed.pdf,2
Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation.pdf,7
Supplementary Materials for La- and Mn-doped cobalt spinel oxygen evolution catalyst for proton exchange membrane electrolysis.pdf,6
Introduction to grid-scale battery energy storage system concepts and fire hazards.pdf,3
"A review on global warming potential, challenges and opportunities of renewable hydrogen production technologies.pdf",5
"A Prompt Decarbonization Pathway for Shipping_Green Hydrogen, Ammonia, and Methanol Production and Utilization in Marine Engines.pdf",0
Electrolysis of low-grade and saline surface water.pdf,0
"Electrocatalytic seawater splitting_Nice designs, advanced strategies, challenges and perspectives.pdf",0
"Impacts of grid‐scale battery systems on power system operation, case of Baltic region.pdf",3
Novel Pt-carbon core–shell decorated hierarchical CoMo2S4 as efficient electrocatalysts for alkaline:seawater hydrogen evolution reaction.pdf,0
Investigating the role of nuclear power and battery storage in Hungary’s energy transition using hourly resolution electricity market simulations.pdf,1
Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran.pdf,4
Arming Ru with Oxygen-Vacancy-Enriched RuO2 Sub-Nanometer Skin Activates Superior Bifunctionality for pH-Universal Overall Water Splitting.pdf,0
Recent advances in ammonia synthesis technologies_Toward future zero carbon emissions.pdf,5
An improved genetic algorithm based fractional open circuit voltage MPPT for solar PV systems.pdf,7
"A comprehensive study of renewable energy sources_Classifications, challenges and suggestions.pdf",7
"Modeling the linkage between climate-tech, energy transition, and CO2 emissions_Do environmental regulations matter?.pdf",5
State-of-Charge_Balancing_Control_for_ON_OFF-Line_Internal_Cells_Using_Hybrid_Modular_Multi-Level_Converter_and_Parallel_Modular_Dual_L-Bridge_in_a_Grid-Scale_Battery_Energy_Storage_System.pdf,3
Wind speed forecasting based on the hybrid ensemble empirical mode decomposition and GA-BP neural network method.pdf,1
Tuning Mass Transport in Electrocatalysis Down to Sub-5 nm through Nanoscale Grade Separation.pdf,0
Techno-economic optimization of hybrid photovoltaic:wind generation together with energy storage system in a stand-alone micro-grid subjected to demand response.pdf,7
Real-Time_Energy_Storage_Management_for_Renewable_Integration_in_Microgrid_An_Off-Line_Optimization_Approach.pdf,7
"Solar Energy_Applications, Trends Analysis, Bibliometric Analysis and Research Contribution to Sustainable Development Goals (SDGs).pdf",5
A short review on generation of green fuel hydrogen through water splitting.pdf,0
The economics of global green ammonia trade – “Shipping Australian wind and sunshine to Germany”.pdf,4
Defective TiO2−x for High-Performance Electrocatalytic NO Reduction toward Ambient NH3 Production.pdf,0
Assessing new transmission and energy storage in achieving increasing renewable generation targets in a regional grid.pdf,7
"Feasibility study of an islanded microgrid in rural area consisting of PV, wind, biomass and battery energy storage system.pdf",7
Detection of False Data Injection Attacks in Battery Stacks Using Input Noise-Aware Nonlinear State Estimation and Cumulative Sum Algorithms.pdf,3
"Green innovation, foreign investment and carbon emissions_a roadmap to sustainable development via green energy and energy efficiency for BRICS economies.pdf",8
Race to carbon neutrality in South Africa_What role does environmental technological innovation play?.pdf,5
Bacterial Growth-Induced Tobramycin Smart Release Self-Healing Hydrogel for Pseudomonas aeruginosa-Infected Burn Wound Healing.pdf,0
Recent Progress in Rechargeable Sodium-Ion Batteries_toward High-Power Applications.pdf,2
A review of solar hybrid photovoltaic-thermal (PV-T) collectors and systems.pdf,0
The merit-order effect in the Italian power market_The impact of solar and wind generation on national wholesale electricity prices.pdf,1
Rechargeable Zinc Alkaline Anodes for Long-Cycle Energy Storage.pdf,2
Electrochemical C–N coupling of CO2 and nitrogenous small molecules for the electrosynthesis of organonitrogen compounds.pdf,6
Challenges and Mitigation Measures in Power Systems with High Share of Renewables—The Australian Experience.pdf,3
Electrode Blocking Due to Redox Reactions in Aluminum Chloride-Sodium Iodide Molten Salts.pdf,2
Dealing with multiple decades of hourly wind and PV time series in energy models_ A comparison of methods to reduce time resolution and the planning implications of inter-annual variability.pdf,1
Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm.pdf,3
"A Perspective on the Overarching Role of Hydrogen, Ammonia, and Methanol Carbon-Neutral Fuels towards Net Zero Emission in the Next Three Decades.pdf",5
The reformation of catalyst_From a trial-and-error synthesis to rational design.pdf,6
